age;lx
0;100000
1;99616
2;99583
3;99562
4;99545
5;99531
6;99519
7;99508
8;99498
9;99488
10;99478
11;99467
12;99456
13;99444
14;99431
15;99415
16;99395
17;99371
18;99342
19;99309
20;99274
21;99239
22;99205
23;99171
24;99137
25;99103
26;99068
27;99033
28;98997
29;98960
30;98921
31;98879
32;98833
33;98782
34;98725
35;98662
36;98593
37;98518
38;98435
39;98343
40;98242
41;98130
42;98007
43;97872
44;97724
45;97563
46;97387
47;97197
48;96993
49;96776
50;96546
51;96304
52;96049
53;95778
54;95489
55;95180
56;94851
57;94501
58;94131
59;93741
60;93329
61;92892
62;92425
63;91923
64;91382
65;90797
66;90164
67;89476
68;88726
69;87907
70;87010
71;86024
72;84941
73;83751
74;82442
75;80998
76;79402
77;77633
78;75671
79;73496
80;71088
81;68423
82;65478
83;62233
84;58680
85;54828
86;50706
87;46362
88;41868
89;37319
90;32821
91;28469
92;24328
93;20444
94;16860
95;13618
96;10750
97;8277
98;6204
99;4516
100;3185
101;2171
102;1426
103;900
104;544
105;314
106;172
107;89
108;44
109;20
110;9
111;4
112;1
