age;lx
0;100000
1;96813
2;96813
3;96813
4;96813
5;96813
6;96813
7;96813
8;96813
9;96813
10;96813
11;96813
12;96813
13;96813
14;96813
15;96813
16;96813
17;96813
18;96813
19;96813
20;96813
21;96813
22;96813
23;96813
24;96813
25;96813
26;96813
27;96813
28;96813
29;96813
30;96813
31;96813
32;96813
33;96813
34;96813
35;96813
36;96813
37;96813
38;96813
39;96813
40;96813
41;96813
42;96813
43;96813
44;96813
45;96813
46;96813
47;96813
48;96813
49;96813
50;96813
51;96813
52;96813
53;96813
54;96813
55;96813
56;96813
57;96813
58;96813
59;96813
60;96813
61;96562
62;96309
63;96056
64;95799
65;95523
66;95231
67;94919
68;94587
69;94231
70;93854
71;93443
72;93002
73;92532
74;92019
75;91463
76;90857
77;90197
78;89472
79;88680
80;87806
81;86839
82;85761
83;84552
84;83191
85;81647
86;79887
87;77868
88;75547
89;72876
90;69834
91;66404
92;62611
93;58486
94;54138
95;49628
96;45022
97;40394
98;35819
99;31369
100;27113
101;23111
102;19413
103;16057
104;13068
105;10455
106;8216
107;6336
108;4790
109;3547
110;2570
111;1820
112;1259
113;849
114;557
115;356
116;221
117;133
118;77
119;43
120;24
